Time (s),Value 1,Value 2,Value 3,Value 4
10.935563087463379,2.32,10.26,15.00,45.94
10.94956111907959,2.32,10.26,15.00,45.94
10.965559959411621,2.32,10.26,15.00,45.94
10.982563734054565,2.32,10.26,15.00,45.94
10.997560262680054,2.32,10.26,15.00,45.94
11.013562202453613,2.32,10.26,15.00,45.94
11.030560970306396,2.32,10.26,15.00,45.94
11.046562194824219,2.32,10.26,15.00,45.94
11.062561750411987,2.32,10.26,15.00,46.41
11.078563213348389,2.32,10.26,15.00,46.41
11.093561172485352,2.32,10.26,15.00,46.41
11.10856008529663,2.32,10.26,15.00,46.41
11.124561071395874,2.32,10.26,15.00,46.41
11.139562129974365,3.26,11.28,15.00,46.41
11.153560638427734,3.26,11.28,15.00,46.41
11.169564485549927,3.26,11.28,15.00,46.41
11.185563564300537,3.26,11.28,15.00,46.41
11.200571060180664,3.26,11.28,15.00,41.68
11.217565774917603,3.26,11.28,15.00,41.68
11.232562065124512,1.97,9.89,15.00,41.68
11.248568058013916,1.97,9.89,15.00,41.68
11.265565872192383,1.97,9.89,15.00,41.68
11.281562805175781,1.97,9.89,15.00,41.68
11.296563386917114,1.97,9.89,15.00,41.68
11.312561511993408,1.97,9.89,15.00,41.68
11.328559398651123,1.97,9.89,15.00,41.68
11.34456181526184,1.97,9.89,15.00,49.14
11.36056137084961,2.77,10.75,15.00,49.14
11.375561237335205,2.77,10.75,15.00,49.14
11.389559030532837,2.77,10.75,15.00,49.14
11.404560089111328,2.77,10.75,15.00,49.14
11.42037057876587,2.77,10.75,15.00,49.14
11.436863422393799,2.77,10.75,15.00,49.14
11.451862573623657,2.77,10.75,15.00,49.14
11.468864917755127,2.77,10.75,15.00,49.14
11.487861394882202,2.77,10.75,15.00,45.30
11.49986219406128,2.77,10.75,15.00,45.30
11.516237735748291,2.77,10.75,15.00,45.30
11.531236171722412,2.77,10.75,15.00,45.30
11.54683232307434,2.77,10.75,15.00,45.30
11.563832759857178,2.77,10.75,15.00,45.30
11.578832626342773,2.77,10.75,15.00,45.30
11.593831539154053,2.77,10.75,15.00,45.30
11.608832359313965,2.77,10.75,15.00,45.30
11.624832153320312,2.77,10.75,15.00,45.72
11.638832569122314,2.77,10.75,15.00,45.72
11.654830694198608,2.77,10.75,15.00,45.72
11.67083215713501,2.77,10.75,15.00,45.72
11.686831712722778,2.77,10.75,15.00,45.72
11.703831911087036,2.77,10.75,15.00,45.72
11.718830108642578,2.77,10.75,15.00,45.72
11.73483395576477,2.77,10.75,15.00,45.72
11.750831604003906,2.77,10.75,15.00,45.72
11.766833305358887,1.89,9.81,15.00,50.95
11.782832622528076,1.89,9.81,15.00,50.95
11.799833059310913,1.89,9.81,15.00,50.95
11.814832925796509,1.89,9.81,15.00,50.95
11.829832792282104,1.89,9.81,15.00,50.95
11.84483027458191,1.89,9.81,15.00,50.95
11.859829902648926,1.89,9.81,15.00,50.95
11.875832796096802,1.89,9.81,15.00,50.95
11.890833139419556,1.89,9.81,15.00,50.95
11.907833576202393,1.89,9.81,15.00,51.47
11.921830177307129,1.89,9.81,15.00,51.47
11.93783187866211,1.89,9.81,15.00,51.47
11.953831434249878,1.89,9.81,15.00,51.47
11.969830989837646,1.89,9.81,15.00,51.47
11.98583197593689,1.89,9.81,15.00,51.47
12.001830816268921,1.89,9.81,15.00,51.47
12.016833543777466,1.89,9.81,15.00,51.47
12.032832860946655,1.89,9.81,15.00,51.47
12.049835443496704,1.89,9.81,15.00,51.98
12.06383228302002,1.89,9.81,15.00,51.98
12.07983136177063,1.89,9.81,15.00,51.98
12.094834327697754,1.89,9.81,15.00,51.98
12.108830690383911,1.89,9.81,15.00,51.98
12.12483024597168,1.89,9.81,15.00,51.98
12.14083218574524,1.89,9.81,15.00,51.98
12.156832695007324,1.89,9.81,15.00,51.98
12.172830820083618,1.89,9.81,15.00,51.98
12.188832998275757,1.89,9.81,15.00,52.50
12.204831838607788,1.89,9.81,15.00,52.50
12.220832586288452,1.89,9.81,15.00,52.50
12.236833095550537,1.89,9.81,15.00,52.50
12.252831220626831,1.89,9.81,15.00,52.50
12.268832206726074,1.89,9.81,15.00,52.50
12.284831762313843,1.89,9.81,15.00,52.50
12.300832748413086,1.89,9.81,15.00,52.50
12.314831972122192,1.89,9.81,15.00,52.50
12.329833507537842,1.89,9.81,15.00,53.02
12.344831228256226,1.89,9.81,15.00,53.02
12.360833168029785,1.89,9.81,15.00,53.02
12.376832485198975,1.89,9.81,15.00,53.02
12.393832683563232,2.77,10.75,15.00,53.02
12.408831596374512,2.77,10.75,15.00,53.02
12.424833059310913,2.77,10.75,15.00,53.02
12.440830707550049,2.77,10.75,15.00,53.02
12.456832647323608,2.77,10.75,15.00,53.02
12.472830533981323,2.77,10.75,15.00,48.74
12.488832712173462,2.77,10.75,15.00,48.74
12.504832983016968,2.77,10.75,15.00,48.74
12.519832611083984,2.77,10.75,15.00,48.74
12.534833431243896,2.77,10.75,15.00,48.74
12.549832344055176,2.77,10.75,15.00,48.74
12.56483244895935,2.77,10.75,15.00,48.74
12.579834222793579,2.77,10.75,15.00,48.74
12.596834182739258,2.77,10.75,15.00,48.74
12.611832618713379,2.77,10.75,15.00,49.16
12.626831531524658,2.77,10.75,15.00,49.16
12.642832040786743,1.92,9.83,15.00,49.16
12.658832550048828,1.92,9.83,15.00,49.16
12.675832748413086,1.92,9.83,15.00,49.16
12.69083309173584,1.92,9.83,15.00,49.16
12.708834409713745,1.06,8.91,15.00,49.16
12.722831964492798,1.06,8.91,15.00,49.16
12.738831520080566,1.06,8.91,15.00,49.16
12.754832029342651,1.06,8.91,15.00,58.98
12.769834280014038,1.06,8.91,15.00,58.98
12.784832239151001,1.06,8.91,15.00,58.98
12.799830198287964,1.06,8.91,15.00,58.98
12.814831972122192,1.06,8.91,15.00,58.98
12.830831527709961,1.06,8.91,15.00,58.98
12.8468337059021,1.06,8.91,15.00,58.98
12.862831830978394,1.06,8.91,15.00,58.98
12.878832340240479,1.06,8.91,15.00,58.98
12.893832921981812,1.06,8.91,15.00,59.59
12.91083288192749,1.06,8.91,15.00,59.59
12.925832271575928,2.28,10.22,15.00,59.59
12.941832780838013,2.28,10.22,15.00,59.59
12.956834077835083,2.28,10.22,15.00,59.59
12.971832036972046,2.28,10.22,15.00,59.59
12.987833261489868,2.28,10.22,15.00,59.59
13.002832174301147,2.28,10.22,15.00,59.59
13.018832206726074,2.28,10.22,15.00,59.59
13.032832860946655,2.28,10.22,15.00,53.51
13.04883360862732,1.38,9.25,15.00,53.51
13.063831567764282,1.38,9.25,15.00,53.51
13.079831600189209,1.38,9.25,15.00,53.51
13.09683346748352,1.38,9.25,15.00,53.51
13.112834215164185,1.38,9.25,15.00,53.51
13.126833438873291,1.38,9.25,15.00,53.51
13.143834829330444,1.38,9.25,15.00,53.51
13.158830642700195,1.38,9.25,15.00,53.51
13.174833059310913,1.38,9.25,15.00,58.92
13.190831184387207,1.38,9.25,15.00,58.92
13.20783281326294,1.38,9.25,15.00,58.92
13.222832441329956,1.38,9.25,15.00,58.92
13.238833665847778,2.22,10.15,15.00,58.92
13.252831935882568,2.22,10.15,15.00,58.92
13.269833326339722,2.22,10.15,15.00,58.92
13.284833908081055,2.22,10.15,15.00,58.92
13.300833225250244,2.22,10.15,15.00,58.92
13.316833019256592,2.22,10.15,15.00,54.89
13.331831693649292,2.22,10.15,15.00,54.89
13.347833395004272,2.22,10.15,15.00,54.89
13.364833116531372,2.22,10.15,15.00,54.89
13.378831624984741,2.22,10.15,15.00,54.89
13.393832683563232,2.22,10.15,15.00,54.89
13.409830331802368,2.22,10.15,15.00,54.89
13.425830364227295,2.22,10.15,15.00,54.89
13.440829753875732,2.22,10.15,15.00,54.89
13.456831932067871,2.22,10.15,15.00,55.37
13.470829963684082,2.22,10.15,15.00,55.37
13.485831499099731,1.36,9.23,15.00,55.37
13.501830577850342,1.36,9.23,15.00,55.37
13.517830848693848,1.36,9.23,15.00,55.37
13.533833503723145,1.36,9.23,15.00,55.37
13.548830270767212,1.36,9.23,15.00,55.37
13.565841674804688,1.36,9.23,15.00,55.37
13.583833932876587,0.59,8.40,15.00,55.37
13.597837448120117,0.59,8.40,15.00,64.81
13.611832618713379,0.59,8.40,15.00,64.81
13.62783408164978,0.59,8.40,15.00,64.81
13.642830610275269,0.59,8.40,15.00,64.81
13.659835815429688,0.59,8.40,15.00,64.81
13.675835609436035,0.59,8.40,15.00,64.81
13.691832780838013,0.59,8.40,15.00,64.81
13.706832885742188,1.57,9.46,15.00,64.81
13.721832513809204,1.57,9.46,15.00,64.81
13.737832307815552,1.57,9.46,15.00,60.06
13.752835750579834,1.57,9.46,15.00,60.06
13.768831253051758,1.57,9.46,15.00,60.06
13.784832954406738,1.57,9.46,15.00,60.06
13.799832820892334,1.57,9.46,15.00,60.06
13.815829515457153,1.57,9.46,15.00,60.06
13.830835103988647,1.57,9.46,15.00,60.06
13.84583044052124,1.57,9.46,15.00,60.06
13.860832214355469,1.57,9.46,15.00,60.06
13.876830816268921,1.57,9.46,15.00,60.61
13.891829252243042,1.57,9.46,15.00,60.61
13.907829999923706,1.57,9.46,15.00,60.61
13.924833297729492,1.57,9.46,15.00,60.61
13.938831329345703,1.57,9.46,15.00,60.61
13.954834938049316,1.57,9.46,15.00,60.61
13.969832420349121,1.57,9.46,15.00,60.61
13.9868323802948,1.57,9.46,15.00,60.61
14.002833127975464,1.57,9.46,15.00,60.61
14.017832279205322,0.73,8.55,15.00,65.81
14.032831907272339,0.73,8.55,15.00,65.81
14.048831701278687,0.73,8.55,15.00,65.81
14.064834594726562,0.73,8.55,15.00,65.81
14.078830242156982,0.73,8.55,15.00,65.81
14.093832015991211,0.73,8.55,15.00,65.81
14.110831022262573,1.63,9.53,15.00,65.81
14.126831769943237,1.63,9.53,15.00,65.81
14.14183235168457,1.63,9.53,15.00,65.81
14.158834218978882,1.63,9.53,15.00,61.48
14.174832344055176,2.51,10.47,15.00,61.48
14.189833164215088,2.51,10.47,15.00,61.48
14.204830408096313,2.51,10.47,15.00,61.48
14.221832036972046,2.51,10.47,15.00,61.48
14.23683500289917,1.46,9.34,15.00,61.48
14.252832651138306,1.46,9.34,15.00,61.48
14.268831253051758,1.46,9.34,15.00,61.48
14.28483271598816,1.46,9.34,15.00,61.48
14.299830198287964,1.46,9.34,15.00,62.96
14.31483268737793,1.46,9.34,15.00,62.96
14.330833673477173,2.50,10.45,15.00,62.96
14.3468337059021,2.50,10.45,15.00,62.96
14.363834619522095,2.50,10.45,15.00,62.96
14.377833843231201,2.50,10.45,15.00,62.96
14.393830299377441,2.50,10.45,15.00,62.96
14.409832954406738,2.50,10.45,15.00,62.96
14.423832893371582,2.50,10.45,15.00,62.96
14.440832138061523,2.50,10.45,15.00,57.85
14.455832242965698,2.50,10.45,15.00,57.85
14.47183108329773,2.50,10.45,15.00,57.85
14.486833095550537,2.50,10.45,15.00,57.85
14.503833532333374,2.50,10.45,15.00,57.85
